p1,p2,p3,p4,p5,q1,q2,q3,q4,u
-15.745667580749211,5.88254475626065,-45.140341349188,0.8672806617578446,-0.47242038636334877,0.1630966895683949,-0.011831801433402114,0.16282224858262903,-0.022099111203192242,-0.02449060212739073
-15.872137505657674,5.91937724131176,-45.53860530824597,0.9576719848546894,-0.4744207099925127,0.16163786211495937,-0.011858779856428749,0.1613482030527506,-0.02208641462395536,-0.024714146752905213
-15.999525749336662,5.956823375857154,-45.940198788436014,1.0497177121534584,-0.47642103361194305,0.16019155392734866,-0.01188578597247609,0.1598867345586593,-0.022073719562835697,-0.024939840169087738
-16.127836385008482,5.994893665300805,-46.34514439018172,1.1434477177089484,-0.4784213572214566,0.1587576515852851,-0.011912820150415178,0.1584377292370628,-0.022061025871457314,-0.02516770604116804
-16.257073424885608,6.033598792968382,-46.753464709074045,1.2388924161277486,-0.4804216808208667,0.15733604262143627,-0.011939882763999335,0.15700107418963724,-0.022048333399728212,-0.025397768376860322
-16.38724081708524,6.07294962305029,-47.16518232989994,1.3360827723989521,-0.48242200440998295,0.15592661551236908,-0.01196697419192464,0.1555766574740465,-0.02203564199582417,-0.0256300515346894
-16.518342442446002,6.112957203590617,-47.5803198204441,1.4350503119052138,-0.4844223279886109,0.15452925966956987,-0.011994094817897316,0.15416436809502954,-0.0220229515061781,-0.025864580230302938
-16.650382111244216,6.153632769521693,-47.99889972505667,1.535827130615278,-0.48642265155655245,0.1531438654305298,-0.012021245030686608,0.15276409599555688,-0.022010261775455675,-0.026101379544537954
-16.78336355980549,6.194987745747734,-48.42094455797893,1.6384459054687213,-0.4884229751136057,0.15177032404989246,-0.012048425224197377,0.15137573204805146,-0.021997572646548003,-0.026340474931107256
-16.917290447010085,6.237033750274586,-48.84647679641959,1.7429399049472132,-0.4904232986595646,0.15040852769066598,-0.012075635797527004,0.1499991680456772,-0.021984883960549487,-0.0265818922243922
-17.052166350687493,6.27978259738927,-49.27551887337327,1.849342999843827,-0.4924236221942187,0.14905836941549547,-0.012102877155034764,0.14863429669369055,-0.021972195556746208,-0.026825657647483465
-17.187994763897812,6.323246300887815,-49.7080931701731,1.9576896742285252,-0.49442394571735376,0.1477197431779974,-0.012130149706402565,0.14728101160085785,-0.02195950727259582,-0.02707179782088409
-17.324779091095873,6.367437077353525,-50.14422200876853,2.068015036617534,-0.49642426922875094,0.1463925438141531,-0.012157453866705782,0.14593920727093362,-0.021946818943715817,-0.02732033977041325
-17.462522644174943,6.412367349485468,-50.58392764371973,2.180354831348281,-0.4984245927281871,0.14507666703376143,-0.012184790056476014,0.1446087790942027,-0.02193413040386383,-0.0275713109374942
-17.60122863838646,6.458049749477488,-51.02723225389929,2.2947454501628273,-0.5004249162154346,0.14377200941194962,-0.01221215870177146,0.14328962333908227,-0.02192144148492406,-0.027824739186236066
-17.740900188131565,6.5044971224496555,-51.474157933891554,2.4112239440072556,-0.5024252396902611,0.1424784683807405,-0.012239560234243491,0.14198163714378487,-0.02190875201688952,-0.028080652814168484
-17.881540302620827,6.5517225299320625,-51.924726685079946,2.5298280350490803,-0.5044255631524298,0.14119594222067597,-0.012266995091208417,0.14068471850804015,-0.021896061827848298,-0.028339080561879837
-18.023151881398586,6.599739253400474,-52.378960406412254,2.650596128913941,-0.5064258866016988,0.13992433005249572,-0.01229446371571365,0.13939876628487569,-0.02188337074396397,-0.028600051622163863
-18.165737709726674,6.648560797867386,-52.83688088483302,2.7735673271534083,-0.5084262100378214,0.13866353182886898,-0.01232196655661279,0.13812368017245436,-0.02187067858946333,-0.02886359565144296
